stockid,stocklong,TBmsybest,ERmsybest,MSYbest,TBmgtbest,ERmgtbest,TBmsy,SSBmsy,Nmsy,MSY,Fmsy,ERmsy,TBmgt,SSBmgt,Fmgt,ERmgt,TB0,SSB0,M,TBlim,SSBlim,Flim,ERlim
ACADRED2J3K,Acadian redfish NAFO-2J3K,,,3000,,,,,,3000,,,,,,,,,,,,,
ACADRED3LNO-UT12,Acadian redfish Units 1-2 and NAFO-3LNO,,,116000,,,,,,116000,,,,,,,,,,,,,
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,,,10466,,,,281112,,10466,0.038,,,,,,,,0.05,,140556,0.038,
ACADREDUT3,Acadian redfish Unit 3,,,131000,,,,,,131000,,,,,,,,,,,,,
ACMACKSARG,Argentine chub mackerel Southern Argentina,,,,,,,89000,,,0.32,,,89000,0.32,,,,0.38,,59000,0.81,
ALBAIO,Albacore tuna Indian Ocean,,,38800,,,,30029.70474,,38800,0.06,,,,,,,187325,0.3,,,,
ALBAMED,Albacore tuna Mediterranean,167158.4812,0.172889822,28900,,,167158.4812,,,28900,,0.172889822,,,,,322000,,,,,,
ALBANATL,Albacore tuna North Atlantic,416327.403,0.084194808,36650,435300,,416327.403,,,36650,0.087086287,0.084194808,435300,,0.084,,,,0.3,,,,
ALBANPAC,Albacore tuna North Pacific,,,105571,,,,24805.43717,,105571,0.77049215,,,,,,,,,,,,
ALBASATL,Albacore tuna South Atlantic,184107.5,0.136591394,25147.5,184107.5,,184107.5,,,25147.5,0.17,0.136591394,184107.5,,0.17,,,,,,,,
ALBASPAC,Albacore tuna South Pacific Ocean,835200,0.118636255,76800,835200,,835200,58129.51779,,76800,1.324840079,0.118636255,835200,,0.16,,1629000,721400,0.4,,,,
ALPLAICBSAI,Alaska plaice Bering Sea and Aleutian Islands,,,,,,,115087,,,0.19,,,,,,,,0.25,,,,
ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands,,,,,,,65423,,,,,,,,,,,,,,,
AMPL3LNO,American Plaice NAFO-3LNO,,,,,,,,,,,,,,,,,,0.2,50000,,,
AMPL3M,American Plaice NAFO-3M,,,,,,,,,,,,,,,,,,0.2,,,,
AMPL4T,American plaice Southern Gulf of St. Lawrence,,,,,,,,,,,,,,,,,,,,64000,,
AMPL4VWX,American plaice Scotian Shelf and Bay of Fundy,,,5113,,,,,,5113,,,,,,,,,,,,,
AMPL5YZ,American Plaice NAFO-5YZ,,,2675,,,,13107,,2675,0.196,,,,,,,,0.2,,6553,0.196,
ANCHIXa,Anchovy Portugese Waters -East,,,,,,,,,,,,,2361.6,,,,,,,1440,,
ANCHMEDGSA1,Anchovy Northern Alboran Sea,,,,,,,,,,,,,,0.4519,,,,,,,,
ANCHMEDGSA16,Anchovy South of Sicily,14152,0.16669022,2359,,,14152,,,2359,0.17,0.16669022,,,0.08,,,,0.66,3130,,,
ANCHMEDGSA17-18,Anchovy Adriatic Sea,,,,,,,,,,0.48,,,,0.5,,,,,,,,
ANCHMEDGSA29,Anchovy Black Sea,,,,,,,,,,0.49,,,,0.49,,,,,,,,
ANCHMEDGSA6,Anchovy Northern Spain,,,,45440,,,,,,0.3933,,45440,,,,,,,,,,
ANCHMEDGSA9,Anchovy Ligurian and North Tyrrhenian Sea,,,,,,,,,,0.52,,,,,,,,,,,,
ANCHOBAYB,Anchovy ICES VIII,,,,,,,,,,,,,89000,,,,,1.2,21000,21000,,
ANCHOSA,Anchovy South Africa,,,,,,,,,,,,,,,,5261270,,1.2,204441,,,
ANCHOVYKILKACS,Anchovy kilka Caspian Sea,,,44652,,,,,,44652,,,,,,,,,0.473,,,,
ANGLMEDGSA15-16,Black Bellied Angler Malta Island and South of Sicily,,,,,,,,,,0.164656823,,,,0.16,,,,0.2,,,,
ANGLMEDGSA5,Black bellied angler Balearic Island,,,,,,,,,,,,,,0.08,,,,,,,,
ANGLMEDGSA6,Black bellied angler Northern Spain,,,,,,,,,,,,,,0.14,,,,,,,,
ANGLMEDGSA7,Black bellied angler Gulf of Lions,,,,,,,,,,,,,,0.29,,,,,,,,
APOLLNEMS,Walleye pollock Nemuro Strait,,,,,,,,,,,,,,,,,,0.25,,,,
APOLLNSJ,Walleye pollock Sea of Japan North,619267.2555,0.073,45206.50965,,,619267.2555,346887,,45206.50965,,0.073,,,,,,,0.25,,,,
APOLLOKS,Walleye pollock Okhotsk Sea,,,,,,,,,,,,,,,,,,0.25,,,,
APOLLPJPN,Walleye pollock Pacific Coast of Japan,1013492.521,0.174,176347.6986,,,1013492.521,206052,,176347.6986,,0.174,,,,,,,0.25,,,,
ARCSURFGB,Arctic surfclam Grand Bank,,,,,,,,,,,,,,,,,,0.08,,,,
ARFLOUNDBSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,,,,,,,194266,,,0.29,,,,,,,,,,,0.29,
ARFLOUNDGA,Arrowtooth flounder Gulf of Alaska,1125922.626,0.225833458,254271,,,1125922.626,347295,,254271,0.219,0.225833458,,,,,,,0.2,,,,
ARFLOUNDPCOAST,Arrowtooth flounder Pacific Coast,44591.44735,0.131056522,5844,,,44591.44735,20078.38,,5844,0.7,0.131056522,,,,,,80313,0.166,,10039.19,0.7,
ARGANCHONARG,Argentine anchoita Northern Argentina,1047948.41,0.404626598,222163,,,1047948.41,748152,,222163,0.1898,0.404626598,,890000,0.98,,3370285,2196036,1.01,,293000,4.4,
ARGANCHOSARG,Argentine anchoita Southern Argentina,733418.85,0.395170345,454000,,,733418.85,298839,,454000,0.17,0.395170345,,548161,0.71,,,,0.98,350000,339700,,
ARGHAKENARG,Argentine hake Northern Argentina,,,,,,,435082,,,0.379,,,,,,,,0.3,,230000,,
ARGHAKESARG,Argentine hake Southern Argentina,,,,,,,1501500,,,0.414,,,600000,,,,,0.3,,,,
ATBTUNAEATL,Bluefin tuna Eastern Atlantic,,,40252.1,,,,325322,,40252.1,0.111192093,,,325322,0.14,,,,,,,,
ATBTUNAWATL,Bluefin tuna Western Atlantic,,,5233.41,,,,62443.2,,5233.41,0.104047837,,,62443.2,0.08,,,,,,,,
ATHAL3NOPs4VWX5Zc,Atlantic halibut Scotian Shelf and Southern Grand Banks,,,,,,,4900,,,0.36,,,,,,,,,,,,
ATHAL5YZ,Atlantic Halibut NAFO-5YZ,49000,0.071428571,3500,,,49000,49000,,3500,0.073,0.071428571,,,,,,,0.15,,,,
ATKABSAI,Atka mackerel Bering Sea and Aleutian Islands,,,,,,,118697,,,0.468,,,,,,,,0.3,,,,
ATLCROAKMATLC,Atlantic croaker Mid-Atlantic Coast,,,,,,,28932,,,0.39,,,,,,,,0.3,,,,
ATOOTHFISHRS,Antarctic toothfish Ross Sea,18802.1604,0.165161875,3105.3982,,,18802.1604,,,3105.3982,0.136,0.165161875,,,,,,70738,0.13,,,,
AUROCKPCOAST,Aurora rockfish Pacific Coast,,,72,,,,1050,,72,0.5,,,,,,,,,,656.52,0.5,
AUSSALMONNZ,Australian salmon New Zealand,28245.67905,0.119374719,3371.82,,,28245.67905,17680,,3371.82,0.32,0.119374719,,22984,0.214638,,,44200,0.2,,,,
AWOLF5YZ,Atlantic wolffish Gulf of Maine / Georges Bank,,,244,,,,,,244,0.243,,,,,,,,,,,0.243,
BCRABCHESB,Blue Crab Chesapeake Bay,,0.34,,,,,,140000000,,,0.34,,,,,,,,,,,
BGRDRNSWWA,Blue grenadier New South Wales to Western Australia,,,4491.953438,,,,10525.15928,,4491.953438,0.16529547,,,17671.3,0.0966617,,79737.5,36815.2,0.147378,,7363.04,,
BGROCKPCOAST,Blackgill rockfish  Pacific Coast,5063,0.022,222,,,5063,475100,,222,,0.022,,,,,12927.2,1187800,0.07,,,,
BHEADSHARATL,Bonnethead shark Atlantic,,,,,,,4770000,4200000,589000,0.2,,,,,,,,,,,,
BIGEYEATL,Bigeye tuna Atlantic,451528.1141,0.215708974,92000,,,451528.1141,,,92000,0.162684304,0.215708974,,,,,,,,,,,
BIGEYECWPAC,Bigeye tuna Central Western Pacific,249600,0.2588,108520,,,249600,526599.9979,,108520,0.504103848,0.2588,,345400,0.039,,2286000,1207000,,,,,
BIGEYEEPAC,Bigeye tuna Eastern Pacific,420280,0.262820025,106201,,,420280,96555.28754,,106201,0.993594293,0.262820025,,,,,,,,,,,
BIGEYEIO,Bigeye tuna Indian Ocean,,,104000,,,,515050.4843,,104000,,,,,,,,1674570,,,,,
BIGHTREDSE,Bight redfish Southeast Australia,,0.04,624.7468834,,,,1234.693965,,624.7468834,0.103490684,0.04,,2301.69,0.0613598,,16426,5613.88,0.105997,6766.72,1122.776,,
BIGSKA5CDE,Big skate Hecate Strait,,,351,,,,,,351,,,,,,,,,,,,,
BKCDLFENI,Black cardinalfish East coast of North Island,6054.545455,0.11,666,,,6054.545455,14321.6,,666,,0.11,,14321.6,,,,35804,0.04,,,,
BKINGCRABPI,Blue king crab Pribilof Islands,,,,,,,4209.33376,,,,,,,,,,,,,,,
BKINGCRABSMI,Blue king crab Saint Matthews Island,,,,,,,3350.68,,,0.18,,,,,,,,,,,,
BLACKGROUPERGMSATL,Black Grouper Gulf of Mexico and South Atlantic,,,,,,,2685.27,,,0.216,,,,,,,,0.136,,,,
BLACKOREOPR,Black Oreo Pukaki Rise,7444.444444,0.09,670,,,7444.444444,12889.4,,670,,0.09,,12889.4,,,,32223.5,0.04,,,,
BLACKOREOWECR,Black oreo West end of Chatham Rise,63082.10004,0.03086454,1947,,,63082.10004,27427,,1947,0.0341,0.03086454,,,,,,88923,0.044,,,,
BLACKROCKCAL,Black rockfish California,,,343,,,,425,,343,0.5,,,,,,,,,,265.625,0.5,
BLACKROCKORECOAST,Black rockfish Oregon,,,518,,,,553.82,,518,0.5,,,,,,,,,,346.138,0.5,
BLACKROCKWASH,Black rockfish Washington,,,,,,,542.332,,,0.5,,,,,,,,,,338.958,0.5,
BLINGVb-VI-VII,Blue ling Vb-VI-VII,,,,,,,,,,0.12,,,75000,0.12,,,,,,54000,0.17,
BLKMARLINIO,Black marlin Indian Ocean,29735,0.289389608,8605,,,29735,,,8605,,0.289389608,,,,,73000,,,,,,
BLSHARNPAC,Blue shark North Pacific,320546.6667,0.225,72123,,,320546.6667,277565,,72123,,0.225,,,,,,593707,0.1354,,,,
BLTILESATLC,Blueline tilefish Southern Atlantic coast,,,102.7512886,,,,246600,,102.7512886,,,,,,,,,,,221960,,
BLUEFISHATLC,Bluefish Atlantic Coast,147052,0.105846911,13967,,,147052,111228,,13967,0.17,0.105846911,,,,,,,0.2,,55614,0.17,
BLUEROCKCAL,Blue rockfish California,,,275,,,,8.31E+08,,275,0.0403,,,,,,13223,2077,0.12,205,,,
BMACKECS,Spotted mackerel East China Sea,140403.3924,0.39,54757.32305,,,140403.3924,51957,,54757.32305,,0.39,,,,,,,0.4,,,,
BMACKPJPN,Spotted mackerel Pacific Coast of Japan,369684.7305,0.394,145655.7838,,,369684.7305,91814,,145655.7838,,0.394,,,,,,,0.4,,,,
BMARLINATL,Blue marlin Atlantic,32514.94726,0.061510172,2000,,,32514.94726,,,2000,,0.061510172,,,,,,,,,,,
BMARLINIO,Indo-Pacific blue marlin Indian Ocean,96913,0.098273709,9524,,,96913,,,9524,,0.098273709,,,,,259000,,,,,,
BMARLINPAC,Blue marlin Pacific Ocean,,,19459,,,,19437,,19459,0.32,,,19437,0.32,,,,0.42,,,,
BNOSESHARATL,Blacknose shark Atlantic,,,89.415,,,,153709,570753,24495,0.08,,,,0.06,,,,,,77447,0.08,
BNSNZ,Bluenose New Zealand,23867.09993,0.050655505,1209,,,23867.09993,16737.2,,1209,0.08,0.050655505,,16737.2,,,,41843,0.08,,,,
BOCACCBCW,Bocaccio British Columbia Waters,26165,,,,,26165,,,,,,,,,,,,,,,,
BOCACCSPCOAST,Bocaccio Southern Pacific Coast,,,1347,,,,,,1347,0.5,,,,,,44070,,,,,0.5,
BRMSOJ,Yellow sea bream Sea of Japan,,,,,,,,,,,,,,,,,,0.22,,,,
BRNROCKPCOAST,Brown rockfish Pacific Coast,1455.339806,0.103,149.9,,,1455.339806,,,149.9,,0.103,,,,,,,,,,,0.103
BRNSHRIMPGM,Brown shrimp Gulf of Mexico,,,,,,,2766.91364,,,9.12,,,,,,,,,,2766.91364,,
BSBASSMATLC,Black sea bass Mid-Atlantic Coast,12892.3,0.302738844,3284,,,12892.3,10880,,3284,0.44,0.302738844,,,,,,,0.4,,5440,0.44,
BSBASSSATL,Black sea bass South Atlantic,5399,0.148453417,807.394472,,,5399,2.56E+12,,807.394472,0.7,0.148453417,,,,,,,0.38,,1.59E+12,,
BSQLOBSTERCSCH,Yellow squat lobster Central-Southern Chile,,,,,,,5139,,,0.38,,,5139,0.38,,,,0.3,,,,
BSQLOBSTERNCH,Yellow squat lobster Northern Chile,,,,,,,2137,,,0.25,,,2137,0.25,,,,0.3,,,,
BTIPSHARATL,Blacktip shark Atlantic,,,14900,,,,,,14900,0.2,,,,,,,,,,,,
BTIPSHARGM,Blacktip shark Gulf of Mexico,,,,,,,5830000,10900000,1340000,0.08,,,7287500,0.063,,,,,,,,
BUTTERGOMCHATT,Atlantic butterfish Gulf of Maine / Cape Hatteras,,,,,,,45616,,,0.81,,,,,,,,,,22808,,
BWHITMEDGSA1,Blue whiting Northern Alboran Sea,,,,,,,,,,,,,,0.4,,,,,,,,
BWHITMEDGSA6,Blue whiting Northern Spain,,,,,,,,,,,,,,0.159439217,,,,,,,,
BWHITMEDGSA9,Blue whiting Ligurian and North Tyrrhenian Sea,,,,,,,,,,,,,,0.328460439,,,,,,,,
BWHITNEA,Blue Whiting Northeast Atlantic,,,,,,,,,,0.32,,,2250000,0.32,,,,,,1500000,0.88,
CABEZNCAL,Cabezon Northern California,716.6666667,0.18,129,,,716.6666667,257,,129,,0.18,,,,,1835,1036,,,,,
CABEZORECOAST,Cabezon Oregon Coast,300,0.16,48,,,300,109,,48,,0.16,,,,,,409,0.25,,,,
CABEZSCAL,Cabezon Southern California,181.8181818,0.165,30,,,181.8181818,67,,30,,0.165,,,,,470,263,,,,,
CALSCORPSCAL,California scorpionfish Southern California,788.8198758,0.161,127,,,788.8198758,392.424,,127,0.5,0.161,,,,,2007,1024,0.25,,245.265,0.5,
CAPEIIa-V-XIV,Capelin IIa-V-XIV,,,,,,,,,,,,,150000,,,,,,,150000,,
CAPENOR,Capelin Barents Sea,,,,,,,,,,,,,,,,,,,,2.00E+05,,
CHAKESA,Shallow-water cape hake South Africa,,0.353,62800,,,,63100,,62800,0.32,0.353,,63100,,,635500,223800,0.717,43000,18500,,
CHILISPCOAST,Chilipepper Southern Pacific Coast,19321.42857,0.112,2133,,,19321.42857,2.82E+09,,2133,0.5,0.112,,,,,45057,33390,0.16,8666,1.76E+09,0.5,
CHMACKWA,Cunene Horse Mackerel West Africa,,,,,,,,,,0.53,,,,,,,,,,,,
CHROCKCPCOAST,China rockfish Central Pacific Coast,,,15.7,,,,2.60E+10,,15.7,0.5,,,,,,,,,,1.63E+10,0.5,
CHROCKNPCOAST,China rockfish Northern Pacific Coast,,,,,,,9.76E+09,,,0.5,,,,,,,,,,6.13E+09,0.5,
CHROCKSPCOAST,China rockfish Southern Pacific Coast,,,21.1,,,,2.66E+10,,21.1,0.5,,,,,,,,,,1.66E+10,0.5,
CHSQUIDSA,Cape Hope squid South Africa,25703.2,,,,,25703.2,,,,,,,,,,64258,,,,,,
CHTRACCH,Chilean jack mackerel Chilean EEZ and offshore,,,,,,,,,,,,,,,,,,0.23,,,,
CMACKPCOAST,Pacific chub mackerel Pacific Coast,125284.8993,0.183966305,23048.2,,,125284.8993,122357,,23048.2,0.138,0.183966305,,,,,,182791,0.5,18200,29420,,
CMACKPJPN,Chub mackerel Pacific Coast of Japan,2077724.275,0.171,355290.851,,,2077724.275,812856,,355290.851,,0.171,,,,,,,0.4,450,,,
CMACKTSST,Chub mackerel Tsushima Strait,899287.7091,0.362,325542.1507,,,899287.7091,339714,,325542.1507,,0.362,,,,,,,0.4,,,,
CMACKWA,Chub Mackerel West Africa,,,,,,,,,,0.67,,,,,,,,,,,,
COBGM,Cobia Gulf of Mexico,,,1208,,,,2065,,1208,0.378,,,,0.378,,,,,,1280,0.378,
COBSATLC,Cobia Southern Atlantic coast,,,366.502336,,,,536800,,366.502336,,,,,,,,,,,397200,,
COD1IN,Atlantic cod NAFO Subarea 1 (inshore),,,,,,,,,,0.268,,,5983,,,,,,,4346,,
COD2J3KL,Atlantic cod NAFO 2J3KL,,0.1,,,,,1000000,,,,0.1,,,,,,,,,,,
COD4TVn,Atlantic cod NAFO 4TVn,,,,,,,,,,,,,,,,,,,,80000,,
COD4X5Yb,"Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine",,,,,,,,,,,,,,0.2,,,,,,24000,,
COD5Zjm,Atlantic cod NAFO 5Zjm,,,,,,,,,,0.11,,,,,,,,,,21000,0.11,
CODBA2224,Atlantic cod Baltic Areas 22 and 24,,,23000,,,,,,23000,0.26,,,38400,0.26,,,,,,27400,1.01,
CODBA2532,Atlantic cod Baltic Areas 25-32,,,,,,,,,,0.3,,,88200,0.3,,,,,,63000,,
CODFAPL,Atlantic cod Faroe Plateau,,,,,,,,,,0.23,,,29226,0.23,,,,,,21000,0.9,
CODGB,Atlantic cod Georges Bank,,,28774,,,,186535,,28774,0.18,,,,,,,,,,,,
CODGOM,Atlantic cod Gulf of Maine,,,10043,,,,59045,,10043,0.18,,,59045,0.187,,,,,,,,
CODICE,Atlantic cod Iceland,,,,,,,,,,,,,220000,0.2,,,,,125000,125000,0.74,
CODIf-XIV,Atlantic cod ICES If-XIV,,,,,,,,,,0.46,,,14803,1.33,,,,,,10354,2.34,
CODIIIaW-IV-VIId,Atlantic cod IIIa (west) and IV-VIId,,,,,,,,,,0.31,,,150000,0.4,,,,,70000,107000,0.54,
CODIS,Atlantic cod Irish Sea,,,,,,,,,,0.309,,,8616,0.309,,,,0.2,6000,6000,0.614,
CODKAT,Atlantic cod Kattegat,,,,,,,,,,,,,10500,,,,,,6400,6400,,
CODNEAR,Atlantic cod Northeast Arctic,,,,,,,,,,0.4,,,460000,0.4,,,,,,220000,0.74,
CODNEARNCW,Atlantic cod Northeast Arctic (Norwegian coastal waters),,,,,,,,,,,,,60000,0.1,,,,,,,,
CODVIa,Atlantic cod West of Scotland,,,,,,,22000,,,0.167,,,20000,0.167,,,,,,14000,0.82,
CODVIIek,Atlantic Cod Celtic Sea,,,10300,,,,,,10300,0.353,,,10300,0.353,,,,,,7300,0.807,
COWCODSCAL,Cowcod Southern California,1254.545455,0.055,69,,0.05,1254.545455,629,,69,,0.055,,620,,0.05,3099,1549,0.06,,,,0.05
CPANDMEDGSA15-16,Common pandora Malta Island and South of Sicily,,,,,,,,,,,,,,0.3,,,,,,,,
CPANDMEDGSA9,Common pandora Ligurian and North Tyrrhenian Sea,,,,,,,,,,,,,,0.48,,,,,,,,
CPRROCKPCOAST,Copper rockfish Pacific Coast,2238.295455,0.088,196.97,,,2238.295455,,,196.97,,0.088,,,,,,,,,,,0.088
CRLOBSTERSA12,West coast rock lobster South Africa Areas 1-2,,,,,,,,,,,,,,,,56583,,0.11,,,,
CRLOBSTERSA34,West coast rock lobster South Africa Areas 3-4,,,,,,,,,,,,,,,,166501,,0.11,,,,
CRLOBSTERSA56,West coast rock lobster South Africa Areas 5-6,,,,,,,,,,,,,,,,255837,,0.11,,,,
CRLOBSTERSA7,West coast rock lobster South Africa Area 7,,,,,,,,,,,,,,,,116689,,0.11,,,,
CRLOBSTERSA8,West coast rock lobster South Africa Area 8,,,,,,,,,,,,,,,,199707,,0.11,,,,
CROCKPCOAST,Canary rockfish Pacific Coast,26414.47368,0.0304,1226,,,26414.47368,2996400000,,1226,0.5,0.0304,,,,,70664,27846,0.06,,1872750000,0.5,
CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,5850.75635,0.122,713.7922747,,,5850.75635,1988,,713.7922747,,0.122,,,,,,,0.06,,,,
CSARDCSCH,Chilean sardine Central-Southern Chile,,,,,,,642609.4067,,,0.325316983,,,889000,0.26,,,,1,,444000,,
CTRACSA,Cape horse mackerel South Africa South coast,307654.14,0.24,72924.09,,,307654.14,234635.47,,72924.09,0.19,0.24,,,,,1052609,960562,0.3,366474.1739,,,
CUSK4X,Cusk NAFO 4X,25790,0.0575,1482.925,,,25790,,,1482.925,,0.0575,,,,,47430,,,,,,
