stockid,stocklong,TBmsybest,ERmsybest,MSYbest,TBmgtbest,ERmgtbest,TBmsy,SSBmsy,Nmsy,MSY,Fmsy,ERmsy,TBmgt,SSBmgt,Fmgt,ERmgt,TB0,SSB0,M,TBlim,SSBlim,Flim,ERlim
SBT,Southern bluefin tuna Southern Oceans,515838.52,0.355,33000,,,515838.52,341499.1913,,33000,0.088343292,0.355,,,,,,845207,,,,,
SBWHITACIR,Southern blue whiting Campbell Island Rise,,,,,,,134634,,,,,,134634,,,,336585,0.2,,,,
SBWHITARGS,Southern blue whiting Southern Argentina,,,,,,,,,,,,,454500,0.1676,,,1515000,0.15,,303000,,
SBWHITCH,Southern blue whiting Chile,,,,,,,160606.4,,,0.131501866,,,160606.4,0.2,,,401516,0.18,,,,
SCALL5ZMAB,Sea scallop Georges Bank and Mid-Atlantic Bight,96480,0.246662521,23798,,,96480,,,23798,0.48,0.246662521,,,,,,,0.12,,,,
SCALLGB,Sea scallop Georges Bank,,,,13284,,,,,,,,13284,,,,,,0.159,7137,,,
SCHHEADATL,Scalloped hammerhead Atlantic,,,,,,,,,7100,,,,,,,,,,,,,
SCMPBP,Scampi Bay of Plenty,3805.464444,0.09,342.4918,,,3805.464444,1911.6,,342.4918,0.54,0.09,,1911.6,,,,4779,0.3,,,,
SCMPMB,Scampi Mernoo Bank,,,,,,,3138,,,,,,3138,,,,7845,0.25,,,,
SCMPWHB,Scampi Wairapa/Hawke Bay,941.7475728,0.206,194,,,941.7475728,1065.6,,194,0.51,0.206,,1065.6,,,,2664,0.3,,,,
SCUPNWATLC,Scup Atlantic Coast,,,11752,,,,87302,,11752,0.22,,,,,,,,0.2,,43651,0.22,
SDOG4VWX5,"Spiny dogfish Scotian Shelf, Bay of Fundy and Georges Bank",,,741.67,,,,,21600000,741.67,,,,,,,,,0.1,,,,
SDOGATLC,Spiny dogfish Atlantic Coast,,,,,,,159288,,,0.244,,,,,,,,,,79644,0.244,
SDOGBLKGSA29,Spiny Dogfish Black Sea,,,,,,,,,,,,,,0.08,,,,0.15,,,,
SEELNSSA1,Sand eel SA 1,,,,,,,,,,,,,145000,,,,,,160000,110000,,
SEELNSSA2,Sand eel SA 2,,,,,,,,,,,,,84000,,,,,,70000,56000,,
SEELNSSA3,Sand eel SA 3,,,,,,,,,,,,,129000,,,,,,100000,80000,,
SEELNSSA4,Sand eel Sandeel Area 4,,,,,,,,,,,,,102000,,,,,,,48000,,
SFLOUNMATLC,Summer flounder Mid-Atlantic Coast,,,12945,,,,62394,,12945,0.309,,,,,,,,0.25,,31197,0.309,
SHAKE4VWX,Silver hake Scotian Shelf and Bay of Fundy,59000,0.271186441,16000,47200,,59000,,,16000,0.32,0.271186441,47200,,,,,,,,,,
SHCROCKPCOAST,Sharpchin rockfish Pacific Coast,,,270,,,,,,270,0.5,,,,,,,,,,,0.5,
SILVERFISHSE,Silverfish Southeast Australia,,,2685.688627,,,,6170.933025,,2685.688627,0.22215962,,,11223,0.126304,,31666.5,23381.3,0.3,4136.44,4676.26,,
SKJCIO,Skipjack tuna Indian Ocean,788806,0.528647094,510000,,,788806,,,510000,,0.528647094,,,,,,,,,,,
SKJCWPAC,Skipjack tuna Central Western Pacific,2388800.718,0.677662221,1618800,,,2388800.718,1753000,,1618800,3.094615655,0.677662221,,1753000,,,6587000,6229000,,,,,
SKJEATL,Skipjack tuna Eastern Atlantic,384114.7464,0.407430336,156500,,,384114.7464,,,156500,0.6368,0.407430336,,,,,,,,,,,
SKJWATL,Skipjack tuna Western Atlantic,29160,1.08436214,31620,29160,,29160,,,31620,1.08,1.08436214,29160,,1.08,,,,,,,,
SMDOGATL,Smooth dogfish Atlantic,,0.129,,,,,4746000,,,,0.129,,,,,,,,,3701000,,0.129
SMOOTHOREOBP,Smooth Oreo Bounty Plateau,6385.714286,0.07,447,,,6385.714286,6951.4,,447,,0.07,,6951.4,,,,17378.5,0.06,,,,
SMOOTHOREOCR,Smooth oreo Chatham Rise,15768.42105,0.19,2996,,,15768.42105,48251.6,,2996,,0.19,,48251.6,,,,120629,0.06,,,,
SMOOTHOREOEPR,Smooth Oreo East Pukaki Rise,5537.5,0.08,443,,,5537.5,4239,,443,,0.08,,,,,,17372,0.06,,,,
SMOOTHOREOSLD,Smooth Oreo Southland,11998.80115,0.035063503,420.72,,,11998.80115,5216.87,,420.72,0.08,0.035063503,,,,,,16828.6,0.06,,,,
SMOOTHOREOWECR,Smooth oreo West end of Chatham Rise,18158.33333,0.12,2179,,,18158.33333,33521.84,,2179,,0.12,,33521.84,,,,83804.6,0.06,,,,
SMOOTHSKA4T,Smooth skate Southern Gulf of St. Lawrence,,,120.45,,,,,,120.45,,,,,,,,,,,,,
SMSHRMPMEDGSA10,Spottail mantis shrimp South Tyrrhenian Sea,,,,,,,,,,,,,,0.41,,,,,,,,
SMSHRMPMEDGSA17-18,Spottail mantis shrimp Adriatic Sea,,,,,,,,,,,,,,0.56,,,,,,,,
SMSHRMPMEDGSA9,Spottail mantis shrimp Ligurian and North Tyrrhenian Sea,,,,,,,,,,,,,,0.54,,,,,,,,
SMULLMEDGSA15-16,Surmullet Malta Island and South of Sicily,,,,,,,,,,,,,,0.19,,,,,,,,
SMULLMEDGSA5,Surmullet Balearic Island,,,,,,,,,,,,,,0.181,,,,,,,,
SMULLMEDGSA9,Surmullet Ligurian and North Tyrrhenian Sea,,,,,,,,,,,,,,0.31,,,,,,,,
SNAPSAUSNSG,Snapper Northern Spencer Gulf,,,,,,,,,,,,,,,,,,0.05,,,,
SNAPSAUSSGSV,Snapper Southern Gulf St. Vincent,,,,,,,,,,,,,,,,,,0.05,,,,
SNAPSAUSSSG,Snapper Southern Spencer Gulf,,,,,,,,,,,,,,,,,,0.05,,,,
SNOSESHARATL,Atlantic sharpnose shark Atlantic,,,1270,,,,4.59E+06,4.62E+06,1270,0.19,,,,,,,,,,,,
SNOWCRABBS,Snow crab Bering Sea,146357,,,,,146357,154170,,,1.58,,,,,,,,0.18,,,,
SNOWCRABESJ,Snow crab Sea of Japan East,1193,0.695,829.135,,,1193,,,829.135,,0.695,,,,,,,0.35,,,,
SNOWCRABHOKK,Snow crab Hokkaido,,,,,,,,,,,,,,,,,,0.35,,,,
SNOWCRABNPAC,Snow crab North Pacific,988,0.161,159.068,,,988,,,159.068,,0.161,,,,,,,0.35,,,,
SNOWCRABOKS,Snow crab Okhotsk Sea,,,,,,,,,,,,,,,,,,0.35,,,,
SNOWCRABSGSL,Snow crab Southern Gulf of St. Lawrence,,,,,,,,,,,,,,,,,,0.38,,,,
SNOWCRABWSJ,Snow crab Sea of Japan West,11408,0.48,5475.84,,,11408,,,5475.84,,0.48,,,,,,,0.35,,,,
SNOWGROUPSATLC,Snowy grouper Southern Atlantic coast,2091.7,0.090774856,189.8737661,,,2091.7,872.3,,189.8737661,0.14,0.090774856,,,,,,,0.15,,,,
SNROCKPCOAST,Splitnose Rockfish Pacific Coast,31859.29648,0.0398,1268,,,31859.29648,4.12E+09,,1268,,0.0398,,,,,87584,,0.048,,,,
SOLECS,Common sole Celtic Sea,,,,,,,,,,0.274,,,2400,0.274,,,,0.1,,1700,0.488,
SOLEIIIa-2224,Common sole 22-24-IIIa,,,,,,,,,,0.23,,,2600,0.23,,,,0.1,,1850,0.315,
SOLEIS,Common sole Irish Sea,,,,,,,,,,0.2,,,3500,0.2,,,,0.1,2200,2500,0.29,
SOLENS,Common sole North Sea,,,,,,,,,,0.2,,,35000,0.2,,,,0.1,25000,26300,0.62,
SOLEVIId,Common sole ICES VIId,,,,,,,,,,0.256,,,19251,0.256,,,,0.1,,13751,0.359,
SOLEVIIe,Common sole Western English Channel,,,,,,,,,,0.291,,,2826,0.291,,,,0.1,,2039,0.44,
SOLEVIIh-k,Common sole VIIh-k,,,,,,,,,,,,,590,0.161,,,,,,425,0.222,
SOLEVIIIab,Common sole VIIIab,,,,,,,,,,0.33,,,10600,0.33,,,,0.1,,7600,0.6,
SOLMEDGSA17,Common Sole Northern Adriatic Sea,,,,,,,,,,,,,,0.26,,,,0.35,,,,
SOUTHHAKECH,Southern hake Chile,,,,,,,172400,,,0.313,,,172400,0.313,,940000,431000,0.21,,,,
SOUTHHAKECR,Southern hake Chatham Rise,10625.64103,0.39,4144,,,10625.64103,19938,,4144,,0.39,,19938,,,88920,49845,0.19,,,,
SOUTHHAKESA,Southern hake Sub-Antarctic,20248.90149,0.214382,4341,,,20248.90149,25774.4,,4341,,0.214382,,25774.4,,,,64436,0.29,,,,
SOUTHHAKEWCSI,Southern hake West Coast South Island,11376.05634,0.71,8077,,,11376.05634,36930.4,,8077,,0.71,,36930.4,,,,92326,0.19,,,,
SPANMACKGM,Spanish mackerel Gulf of Mexico,,,,,,,10339,,,0.36,,,,,,,,,,,,
SPANMACKSATLC,Spanish mackerel Southern Atlantic Coast,9548,0.288018433,2750,,,9548,3266,,2750,0.69,0.288018433,,3266,0.5175,,,,0.35,,,,
SPANMACKSETO,Japanese Spanish mackerel Inland Sea of Japan,24474.40643,0.283,6926.257021,,,24474.40643,16707,,6926.257021,,0.283,,,,,,,0.3,,3979,,
SPHAKECH,South Pacific Hake Chile,,,,,,,238840,,,0.2,,,238840,0.2,,,597100,0.33,,,,
SPRAT22-32,Sprat ICES Baltic Areas 22-32,,,,,,,,,,0.26,,,570000,0.26,,,,,,410000,0.39,
SPRATNS,Sprat North Sea,,,,,,,,,,0.7,,,142000,0.7,,,,0.75,,90000,,
SPRBLKGSA29,Sprat Black Sea,,,,,,,,,,0.64,,,,0.64,,,,,,,0.64,
SPSDOGPCOAST,Spotted spiny dogfish Pacific Coast,160000,0.0053,848,,,160000,33229000,,848,,0.0053,,,,,304105,,0.064,,,,
SPURDNEATL,Spurdog Northeast Atlantic,,0.029,,964563,0.029,,,,,,0.029,964563,,,0.029,,,,,,,
SRAKEROCKBSAI,Shortraker rockfish Bering Sea and Aleutian Islands,,,,,,,,,,,,,,,,,,0.03,,,0.03,
SSANDNSJ,Sailfin sandfish Sea of Japan North,,,,,,,,,,,,,,,,,,0.5,,,,
SSANDWSJ,Sailfin sandfish Sea of Japan West,13230,0.506,6694.38,,,13230,,,6694.38,,0.506,,,,,,,0.5,,,,
SSARDCH,Southern sardine Chile,,,,,,,,,,,,,32400,0.34,,,,1.1,,,,
SSLOBSTERSASC,Southern spiny lobster South Africa South coast,,,,,,,,,,,,,1484,,,,4047,0.1,,,,
SSTHORNHPCOAST,Shortspine thornyhead Pacific Coast,86000,0.0184,2034,,,86000,75906,,2034,0.5,0.0184,,,,,230500,130646,0.05,,47441.25,0.5,
STFLOUNNPCOAST,Starry flounder Northern Pacific Coast,4840.236686,0.169,818,,,4840.236686,1930,,818,,0.169,,,,,12102,4824,0.3,,,,
STFLOUNSPCOAST,Starry flounder Southern Pacific Coast,2329.411765,0.17,396,,,2329.411765,,,396,,0.17,,,,,5854,2334,0.3,,,,
STMARLINIO,Striped marlin Indian Ocean,28313,0.148977502,4218,,,28313,,,4218,,0.148977502,,,,,61450,,,,,,
STMARLINNEPAC,Striped marlin Northeast Pacific,,,2596,,,,1370,,2596,,,,,,,,5556,0.5,,,,
STMARLINSWPO,Striped marlin Southwestern Pacific Ocean,7325.7409,0.284066831,2081,,,7325.7409,,,2081,0.226,0.284066831,,,,,,,,,,,
STMARLINWCNPAC,Striped marlin Western and Central North Pacific,16721.49948,0.385750892,5657,,,16721.49948,2819,,5657,0.612,0.385750892,,,,,43468.3,18506.6,,,2819,,
STRIPEDBASSGOMCHATT,Striped bass Gulf of Maine / Cape Hatteras,,,,,,,,,,,,,72380,0.175,,,,,,,,
SURFMATLC,Atlantic surfclam Mid-Atlantic Coast,972000,0.100823045,98000,,,972000,,,98000,0.15,0.100823045,,,,,,,0.15,486000,,0.15,
SWHITSE,School whiting Southeast Australia,,,2070.344826,,,,1660.142094,,2070.344826,0.33926363,,,3622.48,0.199199,,13701.7,7546.83,0.593193,1555.962,1509.366,,
SWORDEPAC,Swordfish Eastern Pacific,31170,0.18,54900,,,31170,,,54900,,0.18,,,,,57210,,,,,,
SWORDIO,Swordfish Indian Ocean,,,27100,,,,17000,,27100,0.12,,,,,,,,,,,,
SWORDMED,Swordfish Mediterranean Sea,73727.73073,0.198025897,14600,,,73727.73073,,,14600,0.26,0.198025897,,,,,,,,,,,
SWORDNATL,Swordfish North Atlantic,65060,0.210574854,13700,65060,,65060,,,1.37E+04,0.21,0.210574854,65060,,0.21,,,,,,,,
SWORDNPAC,Swordfish North Pacific,60720,0.25,14920,60720,0.25,60720,,,14920,,0.25,60720,,,0.25,104600,,,,,,
SWORDSATL,Swordfish South Atlantic,58360,0.243488691,14210,58360,,58360,,,14210,0.24,0.243488691,58360,,0.24,,,,,,,,
TANNERCRABBSAI,Tanner crab Bering Sea and Aleutian Islands,26791,,,,,26791,33540,,,0.73,,,33540,0.73,,,,,,,,
TARAKNZ,Tarakihi New Zealand,11187.19993,0.060962529,682,,,11187.19993,4864,,682,0.1,0.060962529,,,,,,17949.5,0.1,,,,
TBSKAMEDGSA29,Thornback skate Black Sea,,,,,,,,,,,,,,0.16,,,,,,,,
TIGERFLATSE,Tiger flathead Southeast Australia,,,2854.058088,,,,7180.897983,,2854.058088,0.162851727,,,9240.08,0.754433,,45430.7,23100.2,0.27,2545.52,4620.04,,
TILEGM,Tilefish Gulf of Mexico,,,,,,,,,,,,,,,,,,0.13,,,,
TILEMATLC,Tilefish Mid-Atlantic Coast,,,1029,,,,5153,,1029,0.37,,,,,,,,,,,,
TILESATLC,Tilefish Southern Atlantic coast,2918,0.099174743,253.9886108,,,2918,21929,,253.9886108,0.236,0.099174743,,,,,,,0.1,,16447,0.236,
TREVALLYTRE7,Trevally New Zealand Areas TRE 7,26989.71265,0.08041624,1818,,,26989.71265,8935.6,,1818,0.113,0.08041624,,8935.6,0.088,,,22339,0.1,,,,
TSKA3LNOPs,Thorny skate NAFO-3LNOPs,,,6653,,,,,,6653,,,,,,,,,,,,,
TURBLKGSA29,Turbot Black Sea,,,,,,,,,,0.26,,,,0.26,,,,0.19,,3535,,
TURIV,Turbot North Sea,,,,,,,,,,,,,,0.22,,,,,,,,
VSNAPGM,Vermilion snapper Gulf of Mexico,,,1528.606388,,,,1.97E+14,,1528.606388,0.103,,,,0.087,,,,,,1.48E+14,0.103,
VSNAPSATLC,Vermilion snapper Southern Atlantic coast,2252,0.309377753,696.7187,,,2252,5.98E+12,,696.7187,0.75,0.309377753,,,,,,,0.22,,,,
WANGLVIIIc-IXa,White anglerfish VIIIc-IXa,,,,,,,,,,0.24,,,6283,0.24,,,,,,1993,0.56,
WANGLVII-VIIIabd,White anglerfish VII and VIIIabd,,,,,,,,,,0.28,,,22278,0.36,,,,,,16032,0.53,
WAREHOUESE,Blue Warehou Eastern half of Southeast Australia,,0.17,966.66474,,,,640.2379479,,966.66474,0.502253191,0.17,,2134.54,0.20554,,6057.55,4446.96,0.45,653.4,889.392,,
WAREHOUWSE,Blue Warehou Western half of Southeast Australia,,,866.7822979,,,,233.3690749,,866.7822979,0.641941241,,,1422.51,0.196843,,4423.07,2963.57,0.45,653.4,592.714,,
WEAKFISHATLC,Weakfish Atlantic Coast,,,,,,,10179,,,,,,,,,,,0.25,,,,
WHAKE3NOPs,White hake Southern Grand Bank and St. Pierre Bank,,,3500,,,,,,3500,,,,,,,,,,,,,
WHAKE4RS,White hake Northern Gulf of St. Lawrence,,,9016,,,,,,9016,,,,,,,,,,,,,
WHAKE4T,White hake Southern Gulf of St. Lawrence,,,,,,,,,,,,,,,,,,1.077543301,,,,
WHAKEGBGOM,White hake Georges Bank / Gulf of Maine,,,5422,,,,32550,,5422,0.188,,,,,,,,0.2,,16275,0.188,
WHITMEDGSA29,Whiting Black Sea,,,,,,,,,,0.79,,,,0.79,,,,0.46,,,,
WHITNS-VIId,Whiting NS-VIId,,,,,,,,,,0.172,,,166708,0.172,,,,,,119970,0.458,
WHITVIa,Whiting ICES VIa,,,,,,,,,,0.18,,,44632,0.18,,,,,,31880,0.27,
WHITVIIa,Whiting Irish Sea,,,,,,,,,,0.219,,,16300,0.219,,,,,,10000,0.371,
WHITVIIek,Whiting ICES VIIe-k,,,21000,,,,,,21000,0.52,,,35000,0.52,,,,,,25000,1.12,
WINDOWGOMGB,Windowpane flounder - Gulf of Maine / Georges Bank,1400,0.5,700,,,1400,,,700,,0.5,,,,,,,0.2,,,,
WINDOWSNEMATL,Windowpane Southern New England-Mid Atlantic,340.1360544,1.47,500,,,340.1360544,,,500,,1.47,,,,,,,0.2,,,,
WINFLOUN4T,Winter flounder Southern Gulf of St. Lawrence,,,,,,,,,,,,,,,,,,0.834892295,,,,
WINFLOUN5Z,Winter Flounder NAFO-5Z,,,2840,,,,6700,,2840,0.536,,,11800,0.315,,,,,,3350,0.536,
WINFLOUND5Y,Winter Flounder NAFO-5Y,,,,,,,,,,,,,,,,,,0.2,,,,
WINFLOUNSNEMATL,Winter Flounder Southern New England-Mid Atlantic,,,11728,,,,43661,,11728,0.325,,,43661,0.22,,,,0.3,,,0.325,
WITFLOUN4RST,Witch flounder Gulf of St. Lawrence,28428.57143,0.07,1990,,0.07,28428.57143,26700,,1990,,0.07,,26700,,0.07,,,,,,,
WITFLOUN5Y,Witch Flounder NAFO-5Y,,,1957,,,,9473,,1957,0.279,,,,,,,,0.15,,4736,0.279,
WLFLOUNNPAC,Willowy flounder North Pacific,695.2155269,0.208,144.6048296,,,695.2155269,536,,144.6048296,,0.208,,,,,,,0.25,,,,
WMARLINATL,White marlin Atlantic,19121.84368,0.110027394,1239,,,19121.84368,2191.21,,1239,0.0941,0.110027394,,,,,36234.45,,,,,,
WPOLLAI,Walleye pollock Aleutian Islands,,,,,,,72437,,,0.34,,,,,,,,,,,,
WPOLLEBS,Walleye pollock Eastern Bering Sea,,,,,,,1948000,,,0.587,,,,,,,5162000,0.3,,,,
WPOLLGA,Walleye pollock Gulf of Alaska,,,,,,,262344,,,0.285,,,312000,0.243,,,,0.3,,,,
WPOLLNAVAR,Walleye Pollock Navarinsky,1570000,,,,,1570000,,,,0.235,,,1570000,0.295,,,,,,,,
WPOLLNSO,Walleye pollock Northern Sea of Okhotsk,5100000,,966700,,,5100000,,,966700,0.295,,,5089000,0.235,,,,,,,0.305,
WPOLLWBS,Walleye pollock Western Bering Sea,,,,,,,362000,,,0.126,,,362900,,,,,,,,,
WROCKPCOAST,Widow rockfish Pacific Coast,45750,0.12,7776,,,45750,32283,,7776,0.5,0.12,,28451,,,,71126,0.12,,20177,0.5,
WSHRIMPGM,White shrimp Gulf of Mexico,,,,,,,165878.7407,,,3.48,,,,,,,,,,165878.7407,,
WVSCALLALASKA,Weathervane scallop Alaska,,,582.412128,,,,,,582.412128,,,,,,,,,,,,,
YEGROUPGM,Yellowedge grouper Gulf of Mexico,,,375,,,,2401,,375,0.1,,,,,,,,0.07,,,,
YELL3LNO,Yellowtail Flounder NAFO 3LNO,73580,0.255776026,18730,,,73580,,,18730,0.26,0.255776026,,,,,,,,,,,
YELLCCODGOM,Yellowtail flounder Cape Cod / Gulf of Maine,,,1285,,,,5259,,1285,0.279,,,,,,,,,,2629,0.279,
YELLGB,Yellowtail flounder Georges Bank,,,9400,,,,43200,,9400,0.254,,,,,,,,,,,,
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,,,541,,,,1959,,541,0.349,,,,,,,,0.3,,979,0.349,
YEYEROCKPCOAST,Yelloweye rockfish Pacific Coast,3705.882353,0.017,63,,,3705.882353,411100000,,63,0.5,0.017,,,,,8882,1.03E+09,0.046,,256900000,0.5,
YFINATL,Yellowfin tuna Atlantic,739813.6846,0.257089665,144600,,,739813.6846,,,144600,0.170261568,0.257089665,,,,,,,,,,,
YFINCWPAC,Yellowfin tuna Central Western Pacific,,,586400,,,,841000.0043,,586400,0.850000924,,,728300,0.09,,4319000,2467000,,,,,
YFINEIO,Yellowfin tuna Indian Ocean,1346000,0.255334324,422000,,,1346000,947267.0294,,422000,,0.255334324,,,,,3596000,2910000,,,,,
YFINEPAC,Yellowfin tuna Eastern Pacific,362582,0.73361612,274960,,,362582,3624300.188,,274960,1.000038178,0.73361612,,,,,,,,,,,
YNOSESKACSCH,Yellownose skate Central-Southern Chile,,,,,,,1796.805,,,0.062,,,1796.805,0.062,,,3992.9,0.14,,898.4025,,
YNOSESKASCH,Yellownose skate Southern Chile,,,,,,,3327.26,,,0.062,,,3327.26,0.062,,,7393.9,0.14,,1663.63,,
YSOLEBSAI,Yellowfin sole Bering Sea and Aleutian Islands,,,,,,,435000,,,0.13,,,,,,,,0.12,,,,
YTROCKNPCOAST,Yellowtail rockfish Northern Pacific Coast,37122.82349,0.126067997,4805,,,37122.82349,,,4805,0.5,0.126067997,,,,,120024,31016,0.11,,,0.5,
YTSNAPSATLCGM,Yellowtail Snapper Southern Atlantic Coast and Gulf of Mexico,,,1700,,,,,,1700,0.29,,,,,,,,0.19,,,,
