,stocklong,country,Region,Year,Years,N,Brel_MRA,mean(Delta_Brel),mean(Delta_B),mean(Delta_B1),sd(Delta_Brel),sd(Delta_B),sd(Delta_B1),Fishery group,Price
110,Peruvian anchoveta North-Central Peruvian coast,Other,North-Central Peruvian coast,1962,46,1,0.742117117,0.54799539,0.443260304,-0.104735086,NA,NA,NA,"Abalones, winkles, conchs",6000
111,Walleye pollock Northern Sea of Okhotsk,Other,Northern Seaof Okhotsk,1963,51,1,2.057034221,-0.021124795,-0.006030169,0.015094626,NA,NA,NA,"Cods, hakes, haddocks",1650
112,Anchovy South Africa,South Africa,South Africa,1984,31,2,1.015075377,0.514004056,0.02912441,-0.484879646,0.08663455,0.033261346,0.053373204,"Herrings, sardines, anchovies",660
113,Cape horse mackerel South Africa South coast,South Africa,South Africa,1949,64,1,0.630593132,0.19934347,0.2497675,0.05042403,NA,NA,NA,Miscellaneous pelagic fishes,640
114,Deep water cape hake South Africa,South Africa,South Africa,1920,95,2,0.174509804,0.130566138,0.31959365,0.189027512,0.240347729,0.792388844,0.552041115,"Cods, hakes, haddocks",1650
115,Patagonian toothfish South Africa Subantarctic Prince Edward Islands,South Africa,South Africa,1960,55,2,0.575596817,-0.082972701,0.14144117,0.22441387,0.599075151,1.331499656,0.732424505,Miscellaneous demersal fishes,2850
116,Sardine South Africa,South Africa,South Africa,1986,29,2,4.269521411,0.700917074,0.820718971,0.119801898,0.319717138,0.436693571,0.116976433,"Herrings, sardines, anchovies",660
117,Shallow water cape hake South Africa,South Africa,South Africa,1920,95,2,0.702702703,0.202042639,1.010454255,0.808411616,0.110966737,0.895992707,0.78502597,"Cods, hakes, haddocks",1650
118,South African abalone South Africa,South Africa,South Africa,1951,64,2,0.175778547,-0.200284651,-0.187559133,0.012725518,0.166211225,0.108514795,0.057696431,"Abalones, winkles, conchs",6000
119,Southern spiny lobster South Africa South coast,South Africa,South Africa,1973,41,2,0.288888889,0.152305255,-0.575976785,-0.728282041,0.016717335,1.313208173,1.296490837,"Lobsters, spiny-rock lobsters",12400
120,Acadian redfish Gulf of Maine / Georges Bank,USA,US East Coast,1920,94,1,0.5,0.157175547,0.13004413,-0.027131417,NA,NA,NA,Miscellaneous demersal fishes,2850
121,Alaska plaice Bering Sea and Aleutian Islands,USA,US Alaska,1975,40,2,1.72,0.241364009,0.332834691,0.091470682,0.265502007,0.057556043,0.323058049,"Flounders, halibuts, soles",2700
122,American plaice Gulf of Maine / Georges Bank,USA,Gulf of Maine,1980,34,2,0.289473684,0.461198141,0.445248404,-0.015949737,0.328601811,0.306045477,0.022556334,"Flounders, halibuts, soles",2700
123,Arrowtooth flounder Bering Sea and Aleutian Islands,USA,Bering Sea,1976,39,2,3.869565217,0.283772794,0.44021527,0.156442476,0.07017929,0.04731108,0.022868211,"Flounders, halibuts, soles",2700
124,Arrowtooth flounder Gulf of Alaska,USA,Gulf of Alaska,1961,54,1,4.185185185,0.464401986,0.153099935,-0.311302051,NA,NA,NA,"Flounders, halibuts, soles",2700
125,Arrowtooth flounder Pacific Coast,USA,US West Coast,1920,95,1,0.779576588,-0.000144409,2.37E-05,0.000168105,NA,NA,NA,"Flounders, halibuts, soles",2700
126,Atka mackerel Bering Sea and Aleutian Islands,USA,US Alaska,1977,38,2,0.907692308,0.360949098,-0.549713883,-0.910662981,0.031451145,0.08209334,0.050642195,Miscellaneous demersal fishes,2850
127,Atlantic butterfish Gulf of Maine / Cape Hatteras,USA,Gulf of Maine,1989,27,1,0.935670475,0.250971424,0.161443743,-0.089527681,NA,NA,NA,Miscellaneous demersal fishes,2850
128,Atlantic cod Georges Bank,USA,Georges Bank,1978,33,1,0.265550239,0.592893976,0.474086193,-0.118807783,NA,NA,NA,"Cods, hakes, haddocks",1650
129,Atlantic cod Gulf of Maine,USA,Gulf of Maine,2007,7,1,0.218965517,0.670199342,0.385959613,-0.284239728,NA,NA,NA,"Cods, hakes, haddocks",1650
130,Atlantic surfclam_Mid-Atlantic Coast,USA,Mid-Atlantic Coast,1982,29,2,0.796393689,-0.039398616,-0.381895587,-0.342496972,0.107460493,0.022553217,0.13001371,"Clams, cockles, arkshells",1300
131,Atlantic wolffish_Gulf of Maine / Georges Bank,USA,Gulf of Maine,1968,48,2,0.153701084,0.272947305,0.341582906,0.068635601,0.22891792,0.239345346,0.010427427,Miscellaneous demersal fishes,2850
132,Big skate_Gulf of Alaska,USA,Gulf of Alaska,1990,29,1,1.21811555,0.143132361,-0.03227107,-0.175403431,NA,NA,NA,"Sharks, rays, chimaeras",1200
133,Bigeye tuna_Atlantic,USA,Atlantic,1950,59,1,0.492826262,0.062392514,0.114794441,0.052401927,NA,NA,NA,"Tunas, bonitos, billfishes",1500
134,Black sea bass_Mid-Atlantic Coast,USA,Mid-Atlantic Coast,1989,29,4,10.50204338,-0.64306564,-0.12014164,0.522923999,0.24250162,0.446642688,0.436414806,Miscellaneous coastal fishes,2950
135,Blackspotted and Rougheye Rockfish Complex_Gulf of Alaska,USA,Gulf of Alaska,1977,39,1,0.715069912,-0.026861718,-0.126999691,-0.100137972,NA,NA,NA,Miscellaneous demersal fishes,2850
136,Blue king crab_Pribilof Islands,USA,Pribilof Islands,1976,43,3,0.007554826,1.157965118,0.192719273,-0.965245845,0.643577787,0.17627898,0.503360351,"Crabs, sea-spiders",4150
137,Blue king crab_Saint Matthew Island,USA,Saint Matthew Island,1978,41,7,0.231180496,0.932779396,0.930096777,-0.002682619,0.670765913,0.536675947,0.264798647,"Crabs, sea-spiders",4150
138,Bluefish_Atlantic Coast,USA,Atlantic Coast,1985,33,3,0.490379954,-0.053176312,0.091977123,0.145153434,0.139170668,0.168614517,0.307521697,Miscellaneous coastal fishes,2950
139,Bottomfish Multi-species Complex_Guam,USA,Guam,1982,35,1,0.322653421,0.911011642,0.33685014,-0.574161502,NA,NA,NA,Marine fishes not identified,2480
140,Bottomfish Multi-species Complex_Main Hawaiian Islands Deep 7,USA,Main Hawaiian Islands,1949,64,1,0.82540809,0.084731735,0.202435923,0.117704188,NA,NA,NA,Marine fishes not identified,2480
141,Bottomfish Multi-species Complex_Northern Mariana Islands,USA,Northern Mariana Islands,2000,17,1,1.077418181,0.490923301,1.20133496,0.710411659,NA,NA,NA,Marine fishes not identified,2480
142,Brown shrimp_Gulf of Mexico,USA,Gulf of Mexico,1984,33,3,0.724734027,-0.056941274,-0.055184666,0.001756609,0.157240681,0.040977741,0.128426041,"Shrimps, prawns",4100
143,Cabezon_California,USA,California,1920,89,1,0.483029574,-0.141235007,-0.094748475,0.046486531,NA,NA,NA,Miscellaneous coastal fishes,2950
144,Cabezon_Oregon,USA,Oregon,1970,49,1,0.528358209,0.092140206,0.292287046,0.20014684,NA,NA,NA,Miscellaneous coastal fishes,2950
145,California scorpionfish_Southern California,USA,Southern California,1920,97,2,0.549208326,0.186567866,-0.306345476,-0.492913342,0.39019242,0.359593367,0.030599053,Miscellaneous coastal fishes,2950
146,Canary rockfish_Pacific Coast,USA,Pacific Coast,1920,91,2,0.232595596,0.315373989,0.345931913,0.030557924,0.308423979,0.448903055,0.140479077,Miscellaneous demersal fishes,2850
147,Cowcod_Southern California,USA,Southern California,1920,89,1,0.056439019,-0.086581917,0.075769564,0.162351481,NA,NA,NA,Miscellaneous demersal fishes,2850
148,Dover sole Pacific Coast,USA,US West Coast,1920,91,1,0.840085288,-0.244550965,-0.695857975,-0.451307011,NA,NA,NA,"Flounders, halibuts, soles",2700
149,Dover sole_Gulf of Alaska,USA,Gulf of Alaska,1978,38,3,0.963935711,-0.119597063,0.079160462,0.198757525,0.120823869,0.200315641,0.083094811,"Flounders, halibuts, soles",2700
150,Dusky rockfish_Gulf of Alaska,USA,Gulf of Alaska,1977,41,4,1.686257356,0.27257137,0.112209952,-0.160361418,0.094937414,0.11547119,0.20269237,Miscellaneous coastal fishes,2950
151,English sole_Pacific Coast,USA,Pacific Coast,1920,87,1,1.574609485,-0.157849506,-0.268128068,-0.110278562,NA,NA,NA,"Flounders, halibuts, soles",2700
152,Flathead sole_Bering Sea / Aleutian Islands,USA,Bering Sea / Aleutian Islands,1964,54,10,0.861001255,2.463633356,0.337174779,-2.126458577,0.179970236,0.05508113,0.158543677,"Cods, hakes, haddocks",1650
153,Flathead sole_Gulf of Alaska,USA,Gulf of Alaska,1978,39,6,1.437054673,0.223854606,0.209763964,-0.014090642,0.158781126,0.150854696,0.105873938,"Flounders, halibuts, soles",2700
154,Gag Gulf of Mexico,USA,Gulf of Mexico,1963,49,1,0.848920863,-0.017601837,0.514364072,0.531965909,NA,NA,NA,"Flounders, halibuts, soles",2700
155,Gag Southern Atlantic coast,USA,Atlantic Coast,1962,50,1,0.390350877,0.366107527,0.737645373,0.371537845,NA,NA,NA,Miscellaneous coastal fishes,2950
156,Golden king crab_Eastern Aleutian Islands,USA,Eastern Aleutian Islands,1986,31,1,1.411264947,0.185452966,-0.047069441,-0.232522407,NA,NA,NA,Miscellaneous coastal fishes,2950
157,Golden king crab_Western Aleutian Islands,USA,Western Aleutian Islands,1986,31,1,0.589136359,0.353773324,0.110841241,-0.242932082,NA,NA,NA,"Crabs, sea-spiders",4150
158,Goosefish_Gulf of Maine / Northern Georges Bank,USA,Gulf of Maine,1980,31,2,0.678711695,0.483799678,0.721714423,0.237914746,0.381812453,0.54943137,0.167618918,Miscellaneous demersal fishes,2850
159,Goosefish_Southern Georges Bank / Mid-Atlantic,USA,Southern Georges Bank,1980,31,2,1.072186794,0.032996897,0.069610002,0.036613104,0.010076021,0.015667947,0.005591926,Miscellaneous demersal fishes,2850
160,Greater amberjack_Gulf of Mexico,USA,Gulf of Mexico,1950,65,1,0.106265794,0.468838431,0.372308719,-0.096529712,NA,NA,NA,Miscellaneous demersal fishes,2850
161,Greenland halibut_Bering Sea / Aleutian Islands,USA,Bering Sea / Aleutian Islands,1945,73,12,0.599966711,-1.10065907,0.12644667,1.22710574,0.459962817,0.278497145,0.546611179,"Flounders, halibuts, soles",2700
162,Haddock_Eastern Georges Bank,USA,Eastern Georges Bank,1969,50,2,1.758271634,0.377743419,0.849356844,0.471613425,0.271423231,0.395538871,0.666962102,"Cods, hakes, haddocks",1650
163,Haddock_Georges Bank,USA,Georges Bank,1964,52,4,1.734292302,0.497785296,0.444439655,-0.05334564,0.348488391,0.385532925,0.163989091,"Cods, hakes, haddocks",1650
164,Haddock_Gulf of Maine,USA,Gulf of Maine,1977,39,4,4.952977732,-0.495274624,-0.520951461,-0.025676838,0.235220684,0.243641421,0.03361954,"Cods, hakes, haddocks",1650
165,Herring Northwestern Atlantic Coast,USA,Northwestern Atlantic Coast,1965,49,2,1.276639344,-0.15821512,0.367822718,0.526037838,0.154074809,0.643005016,0.797079825,"Herrings, sardines, anchovies",660
166,Kamchatka flounder_Bering Sea / Aleutian Islands,USA,Bering Sea / Aleutian Islands,1991,27,2,1.047973187,0.878562787,0.200842649,-0.677720138,0.045069423,0.025158163,0.01991126,Miscellaneous demersal fishes,2850
167,Kelp greenling_Oregon,USA,Oregon,1920,95,1,0.80485758,-0.47055902,-0.858628463,-0.388069443,NA,NA,NA,"Flounders, halibuts, soles",2700
168,Lingcod_Southern Pacific Coast,USA,Southern Pacific Coast,1920,99,1,0.406700847,0.0235125,0.035164843,0.011652344,NA,NA,NA,Miscellaneous demersal fishes,2850
169,Longnose skate_Pacific Coast,USA,Pacific Coast,1920,99,1,0.566688259,0.124728919,-0.430501235,-0.555230154,NA,NA,NA,Miscellaneous coastal fishes,2950
170,Longspine thornyhead_Pacific Coast,USA,Pacific Coast,1962,51,1,0.752177115,0.282291518,1.270754335,0.988462817,NA,NA,NA,"Sharks, rays, chimaeras",1200
171,Mutton snapper Southern Atlantic coast and Gulf of Mexico,USA,US Southeast and Gulf,1981,32,1,1.127358491,0.253979942,1.210412588,0.956432646,NA,NA,NA,Miscellaneous demersal fishes,2850
172,Northern rock sole_Bering Sea / Aleutian Islands,USA,Bering Sea / Aleutian Islands,1976,42,11,8.760067242,0.149397497,0.083619368,-0.065778129,0.156492795,0.121929737,0.243314753,Miscellaneous coastal fishes,2950
173,Northern rockfish_Bering Sea / Aleutian Islands,USA,Bering Sea / Aleutian Islands,1977,39,4,2.491877155,-0.510300817,-0.321792731,0.188508086,0.676511854,0.133820759,0.624846046,"Flounders, halibuts, soles",2700
174,Northern rockfish_Western / Central Gulf of Alaska,USA,Gulf of Alaska,1961,57,6,0.815963115,0.072844478,-0.425242584,-0.498087062,0.42789784,0.220005338,0.5506046,Miscellaneous demersal fishes,2850
175,Other Flatfish Complex_Bering Sea / Aleutian Islands,USA,Bering Sea / Aleutian Islands,2002,14,2,1.034495336,0.0068979,-0.016594695,-0.023492595,0.027798793,0.031336941,0.003538149,Miscellaneous demersal fishes,2850
176,Other Skates Complex_Bering Sea / Aleutian Islands,USA,Bering Sea / Aleutian Islands,2002,14,1,1.337152625,0.014628029,0.017601583,0.002973554,NA,NA,NA,"Flounders, halibuts, soles",2700
177,Pacific chub mackerel_Pacific Coast,USA,Pacific Coast,2008,11,3,1.119052491,1.121528189,1.588931818,0.467403629,0.564281743,0.197866942,0.681975443,"Sharks, rays, chimaeras",1200
178,Pacific cod_Aleutian Islands,USA,Aleutian Islands,1991,27,3,0.475698108,-0.06276941,-0.050433396,0.012336014,0.044471901,0.042485114,0.004305589,Miscellaneous pelagic fishes,640
179,Pacific cod_Bering Sea,USA,Bering Sea,1977,41,4,5.389773353,-0.298994711,0.317914445,0.616909156,0.30438705,0.25101688,0.531743985,"Cods, hakes, haddocks",1650
180,Pacific cod_Gulf of Alaska,USA,Gulf of Alaska,1977,41,11,0.32978008,0.221605401,0.469893861,0.24828846,0.630911704,0.283080586,0.757022348,"Cods, hakes, haddocks",1650
181,Pacific hake_Pacific Coast,USA,Pacific Coast,1966,53,11,1.500360389,-0.263967571,0.246445166,0.510412736,0.439192094,0.361998376,0.585756389,"Cods, hakes, haddocks",1650
182,Pacific halibut_Pacific Coast / Alaska,USA,Pacific Coast / Alaska,1996,23,3,0.395626243,0.052115011,-2.38E-05,-0.052138855,0.008323844,0.0169011,0.011353098,"Flounders, halibuts, soles",2700
183,Pacific ocean perch_Bering Sea / Aleutian Islands,USA,Bering Sea / Aleutian Islands,1960,58,6,0.807200869,0.939806968,-0.601177061,-1.540984029,1.283818714,0.272398425,1.486607923,"Herrings, sardines, anchovies",660
184,Pacific ocean perch_Gulf of Alaska,USA,Gulf of Alaska,1961,57,7,0.864202865,0.560057096,-0.36214513,-0.922202225,0.991097497,0.11284324,1.042534352,Miscellaneous demersal fishes,2850
185,Pacific ocean perch_Pacific Coast,USA,Pacific Coast,1956,53,2,0.322372547,0.050659217,0.040366969,-0.010292248,0.051685886,0.034851501,0.016834385,Miscellaneous demersal fishes,2850
186,Pacific sardine Pacific Coast,USA,US West Coast,1994,22,1,0.167352185,-0.351869769,-0.290380558,0.061489211,NA,NA,NA,Miscellaneous demersal fishes,2850
187,Pacific sardine_Northern Subpopulation,USA,Northern Subpopulation,2006,13,3,0.020815419,0.179286644,0.318220704,0.13893406,0.518655656,0.796845992,0.279028605,"Herrings, sardines, anchovies",660
188,Petrale sole_Pacific Coast,USA,Pacific Coast,1920,99,5,0.421273032,0.077149426,-0.057854712,-0.135004138,0.416280117,0.429497761,0.137338194,"Herrings, sardines, anchovies",660
189,Pink shrimp_Gulf of Mexico,USA,Gulf of Mexico,1984,33,3,0.44297416,-0.072537272,-0.234524931,-0.161987658,0.069729211,0.104124749,0.040226678,"Flounders, halibuts, soles",2700
190,Pollock_Gulf of Maine / Georges Bank,USA,Gulf of Maine,1970,46,3,0.51396648,-0.076959854,-0.235922848,-0.158962994,0.097774008,0.128481363,0.16887411,"Cods, hakes, haddocks",1650
191,Red king crab_Bristol Bay,USA,Bristol Bay,1976,42,9,0.204060829,2.20522471,0.110496296,-2.094728414,0.220667486,0.439943801,0.255042469,"Crabs, sea-spiders",4150
192,Red king crab_Norton Sound,USA,Norton Sound,1976,41,5,0.296636073,0.12987246,-0.084638224,-0.214510685,0.186063642,0.086010385,0.170625314,"Crabs, sea-spiders",4150
193,Red porgy_Southern Atlantic Coast,USA,Southern Atlantic Coast,1972,45,1,0.190795449,-0.207670944,0.247535329,0.455206273,NA,NA,NA,Miscellaneous coastal fishes,2950
194,Rex sole Gulf of Alaska,USA,Gulf of Alaska,1982,29,1,1.511494253,0.02939813,0.006141268,-0.023256862,NA,NA,NA,"Flounders, halibuts, soles",2700
195,Rougheye rockfish Bering Sea and Aleutian Islands,USA,Bering Sea,1977,37,1,1.623255814,-0.007678294,0.379796497,0.387474791,NA,NA,NA,Miscellaneous demersal fishes,2850
196,Rougheye rockfish Gulf of Alaska,USA,Gulf of Alaska,1977,32,1,0.816568047,-0.001953997,0.053575873,0.05552987,NA,NA,NA,Miscellaneous demersal fishes,2850
197,Sablefish_Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,USA,Eastern Bering Sea,1960,58,13,0.475903614,0.127263067,0.174301499,0.047038432,0.085489019,0.189860785,0.155843952,Miscellaneous demersal fishes,2850
198,Sablefish_Pacific Coast,USA,Pacific Coast,1920,99,4,0.494082433,-0.347874302,0.147650079,0.495524381,0.159780192,0.141794311,0.30155417,Miscellaneous demersal fishes,2850
199,Sculpin Complex_Gulf of Alaska,USA,Gulf of Alaska,1984,33,1,0.793185706,0.263512645,-0.024900601,-0.288413246,NA,NA,NA,Miscellaneous demersal fishes,2850
200,Scup_Atlantic Coast,USA,Atlantic Coast,1984,34,6,16.82246867,-0.485979979,-0.149658387,0.336321592,0.26639592,0.124345529,0.240135918,Miscellaneous coastal fishes,2950
201,Sea scallop_Northwestern Atlantic Coast,USA,Northwestern Atlantic Coast,1976,41,3,5.775484575,0.776321406,0.123771333,-0.652550073,0.363403735,0.113363376,0.319624464,"Scallops, pectens",2500
202,Shortraker rockfish_Bering Sea / Aleutian Islands,USA,Bering Sea / Aleutian Islands,2002,16,5,1.014722011,-0.128640299,-0.163463454,-0.034823155,0.105509029,0.14461072,0.041838127,Miscellaneous demersal fishes,2850
203,Shortspine thornyhead_Gulf of Alaska,USA,Gulf of Alaska,1984,33,1,1.65630372,-0.041146146,0.009886517,0.051032663,NA,NA,NA,Miscellaneous demersal fishes,2850
204,Shortspine thornyhead_Pacific Coast,USA,Pacific Coast,1920,93,1,0.74016249,-0.191766575,-0.568500047,-0.376733472,NA,NA,NA,Miscellaneous demersal fishes,2850
205,Snow crab_Bering Sea,USA,Bering Sea,1982,34,7,0.417974143,0.755091193,0.662896294,-0.0921949,0.505004298,0.522642128,0.719524288,"Crabs, sea-spiders",4150
206,Snowy grouper Southern Atlantic coast,USA,US Southeast and Gulf,1974,38,1,0.246820809,-0.301564572,0.630258092,0.931822664,NA,NA,NA,Miscellaneous demersal fishes,2850
207,Southern Tanner crab_Bering Sea,USA,Bering Sea,1976,41,4,0.372230456,-0.324459093,0.027930616,0.352389709,0.214968542,0.310922769,0.353206263,"Crabs, sea-spiders",4150
208,Spanish mackerel Southern Atlantic coast,USA,US Southeast and Gulf,1950,61,1,0.72,-0.74525792,0.240393023,0.985650943,NA,NA,NA,Miscellaneous pelagic fishes,640
209,Spiny dogfish_Atlantic Coast,USA,Atlantic Coast,1991,27,1,0.455763377,0.659077028,0.799806129,0.1407291,NA,NA,NA,"Sharks, rays, chimaeras",1200
210,Striped bass Gulf of Maine / Cape Hatteras,USA,US East Coast,1982,30,1,12.39919355,-0.337457043,-0.525829125,-0.188372082,NA,NA,NA,Miscellaneous coastal fishes,2950
211,Summer flounder_Mid-Atlantic Coast,USA,Mid-Atlantic Coast,1982,35,7,1.46307182,0.021639141,-0.192572667,-0.214211808,0.095920595,0.105286235,0.017856903,"Flounders, halibuts, soles",2700
212,Swordfish_North Atlantic,USA,North Atlantic,1950,61,2,0.660126582,-0.013865708,-0.134123415,-0.120257706,0.048940716,0.090103324,0.13904404,"Tunas, bonitos, billfishes",1500
213,Tanner crab Bering Sea and Aleutian Islands,USA,US Alaska,1965,50,2,1.076152305,-0.031000361,0.035844645,0.066845006,0.310210696,0.295566772,0.014643924,"Crabs, sea-spiders",4150
214,Tilefish_Mid-Atlantic Coast,USA,Mid-Atlantic Coast,1971,45,1,0.374414908,-0.438857122,-0.472582058,-0.033724936,NA,NA,NA,Miscellaneous demersal fishes,2850
215,Walleye pollock_Aleutian Islands,USA,Aleutian Islands,1978,40,11,0.561282947,0.156658817,0.12838962,-0.028269197,0.252556767,0.135832162,0.297921166,"Cods, hakes, haddocks",1650
216,Walleye pollock_Bogoslof,USA,Bogoslof,1990,26,2,0.346372632,-0.373736633,-0.36455233,0.009184303,0.562848842,0.587467594,0.024618752,"Cods, hakes, haddocks",1650
217,Walleye pollock_Eastern Bering Sea,USA,Eastern Bering Sea,1964,53,12,7.322116685,0.054424996,-0.046291959,-0.100716955,0.096139994,0.152394094,0.093169807,"Cods, hakes, haddocks",1650
218,Walleye pollock_Western / Central / West Yakutat Gulf of Alaska,USA,West Yakutat Gulf of Alaska,1977,41,13,2.457659236,-0.955096067,-0.208581331,0.746514737,0.679035914,0.127708521,0.638174333,"Cods, hakes, haddocks",1650
219,White hake_Gulf of Maine / Georges Bank,USA,Gulf of Maine,1963,53,3,0.945473937,0.407545982,0.308788677,-0.098757304,0.151397883,0.141785662,0.170927336,"Cods, hakes, haddocks",1650
220,White shrimp_Gulf of Mexico,USA,Gulf of Mexico,1984,33,2,0.602339317,-0.223441599,-0.240556337,-0.017114738,0.04039728,0.027475414,0.012921866,"Shrimps, prawns",4100
221,Widow rockfish_Pacific Coast,USA,Pacific Coast,1920,99,4,0.923198047,-0.169137832,-0.334245012,-0.16510718,0.095294877,0.401809018,0.356622108,Miscellaneous demersal fishes,2850
222,Winter flounder_Georges Bank,USA,Georges Bank,1982,34,4,0.226977279,0.091252958,0.074926559,-0.016326399,0.557284284,0.554697965,0.032077506,"Flounders, halibuts, soles",2700
223,Winter flounder_Gulf of Maine,USA,Gulf of Maine,2009,7,1,0.490140311,7.21E-05,0.36700896,0.366936862,NA,NA,NA,"Flounders, halibuts, soles",2700
224,Winter flounder_Southern New England / Mid-Atlantic,USA,Southern New England,1981,35,4,0.207421503,0.170920314,-0.207067017,-0.377987331,0.133353357,0.412694487,0.37816352,"Flounders, halibuts, soles",2700
225,Witch flounder_Northwestern Atlantic Coast,USA,Northwestern Atlantic Coast,1982,32,3,0.122877596,0.845691437,0.845592821,-9.86E-05,0.682376644,0.682207507,0.000170809,"Flounders, halibuts, soles",2700
226,Yelloweye rockfish_Pacific Coast,USA,Pacific Coast,1925,82,2,0.164083666,0.241827454,0.391593126,0.149765672,0.179928965,0.276475278,0.096546313,Miscellaneous demersal fishes,2850
227,Yellowfin sole_Bering Sea / Aleutian Islands,USA,Bering Sea / Aleutian Islands,1954,64,12,0.833876695,0.790205354,-0.418857503,-1.209062857,0.931609597,0.189948895,1.006418896,"Flounders, halibuts, soles",2700
228,Yellowtail flounder_Cape Cod / Gulf of Maine,USA,Cape Cod / Gulf of Maine,1985,31,3,1.733624454,0.191815793,0.379046608,0.187230814,0.607914898,0.53187843,0.21914006,"Flounders, halibuts, soles",2700
229,Yellowtail flounder_Georges Bank,USA,Georges Bank,1973,38,2,0.205496142,0.943084986,0.943084986,0,0.367534145,0.367534145,0,"Flounders, halibuts, soles",2700
230,Yellowtail flounder_Southern New England / Mid-Atlantic,USA,Southern New England,1973,43,4,0.007403078,-0.061781559,0.040836274,0.102617833,0.892689036,0.971562263,0.159931542,"Flounders, halibuts, soles",2700